SAMPN,RECMode,RETMode,CTFIP,BIN,GTYPE,STYPE,ILANG,RESTY,HHSIZ,LTELE,HHLNG,O_HHLNG,INCOM,DOW,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,HTRIPS,HTRIPS_GPS,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,HH_WHT2,GEO_GROUP1,GEO_GROUP2,GEO_GROUP3,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC,HTRIPS_V,HTRIPS_T,HTRIPS_NM,HTRIPS_O,HTRIPS_WP,HTRIPS_NWP,HTRIPS_GPS_V,HTRIPS_GPS_T,HTRIPS_GPS_NM,HTRIPS_GPS_O,HTRIPS_GPS_WP,HTRIPS_GPS_NWP
3000688,2,2,34003,15,2,1,1,1,2,1,1,,6,1,2,0,2,2,0,4,4.56,1,377.6,HILLSDALE,HILLSDALE BOROUGH,Hillsdale borough,NJ,07642,2687,34003026200,1495.78,7,5,4,2,4,2,2,2,2,0,0,2,2,1.66,2.9,0,0,2.9,1.66
3000696,2,2,9001,13,2,1,1,1,1,1,1,,3,4,1,0,1,1,0,6,6.15,1,230.16667,STRATFORD,STRATFORD CDP,Stratford town,CT,06615,2594,9001080500,428.97,6,4,3,1,2,1,4,6,0,0,0,4,2,6.15,0,0,0,4.36,1.78
3000711,2,2,34035,17,2,1,1,2,1,1,1,,2,5,0,0,0,0,0,3,3.04,1,200,BRIDGEWATER,GREEN KNOLL CDP,Bridgewater township,NJ,08807,3188,34035050802,203.9,9,5,4,1,1,0,6,3,0,0,0,0,3,3.04,0,0,0,0,3.04
3000716,2,2,34041,17,2,1,1,1,2,1,1,,4,1,2,0,0,2,0,0,0,1,244.125,HACKETTSTOWN,PANTHER VALLEY CDP,Allamuchy township,NJ,07840,3341,34041031302,113.5,11,5,4,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3000727,2,1,34039,21,2,1,1,1,3,1,1,,4,3,1,2,1,1,2,14,20.38,1,65.93333,NEW PROVIDENCE,,Berkeley Heights township,NJ,07974,3123,34039038201,50,8,5,4,3,2,1,3,10,0,4,0,2,12,16.73,0,3.65,0,1.5,18.88
3000749,2,2,36085,17,1,1,1,1,2,1,1,,7,4,2,0,1,2,0,6,6,1,336.75,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10308,1607,36085014605,206.13,2,1,1,2,4,2,4,4,2,0,0,2,4,4,2,0,0,2,4
3000751,1,3,36103,12,2,1,1,1,3,1,1,,4,1,3,1,2,2,1,8,6.9,1,256.11111,BAY SHORE,BAY SHORE CDP,Islip town,NY,11706,1989,36103147200,75.58,3,2,1,3,2,3,1,7,1,0,0,4,4,5.99,0.91,0,0,3.01,3.89
3000773,2,1,34037,21,2,1,1,1,3,1,1,,3,5,4,2,1,2,1,16,27.34,1,81.52,HIGHLAND LAKES,HIGHLAND LAKE CDP,Vernon township,NJ,07422,3385,34037371502,119.43,11,5,4,3,2,3,3,16,0,0,0,2,14,27.34,0,0,0,3.55,23.78
3000783,2,2,34029,15,2,1,2,1,7,1,2,,1,5,1,4,0,2,5,24,23.96,1,324.71429,LAKEWOOD,LAKEWOOD CDP,Lakewood township,NJ,08701,3296,34029715200,229.68,10,5,4,4,1,1,5,24,0,0,0,0,24,23.96,0,0,0,0,23.96
3000801,2,1,34025,1,2,1,1,1,4,1,1,,8,3,4,2,1,2,2,10,9.42,1,1612,PERRINEVILLE,,Millstone township,NJ,08535,3261,34025812502,1927.44,10,5,4,4,4,3,3,10,0,0,0,2,8,9.42,0,0,0,1.46,7.95
3000809,2,1,34003,3,2,1,1,1,2,1,1,,5,5,2,0,2,2,0,6,7.65,1,1240,EMERSON,EMERSON BOROUGH,Emerson borough,NJ,07630,2674,34003014000,221.89,7,5,4,2,3,2,2,6,0,0,0,4,2,7.65,0,0,0,5.72,1.93
3000815,2,2,36059,5,2,1,1,2,1,1,1,,1,4,1,0,0,1,0,2,1.66,1,292.66667,BALDWIN,BALDWIN CDP,Hempstead town,NY,11510,1765,36059413700,572.24,3,2,1,1,1,1,6,2,0,0,0,0,2,1.66,0,0,0,0,1.66
3000827,2,1,9001,10,2,1,1,1,1,1,1,,3,1,1,0,1,1,0,3,2.68,1,379.66667,FAIRFIELD,,Fairfield town,CT,06824,2542,9001061300,146.67,6,4,3,1,2,1,4,3,0,0,0,0,3,2.68,0,0,0,0,2.68
3000898,2,2,36059,17,2,1,1,1,1,1,1,,3,4,0,0,0,0,0,0,0,1,256.625,BELLMORE,NORTH BELLMORE CDP,Hempstead town,NY,11710,1713,36059408500,52.21,3,2,1,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000938,2,3,34003,15,2,1,1,1,3,1,1,,6,3,3,1,0,3,0,14,22.39,1,659.75,SADDLE RIVER,UPPER SADDLE RIVER BOROUGH,Upper Saddle River borough,NJ,07458,2723,34003053200,50,7,5,4,3,4,3,6,14,0,0,0,0,14,22.39,0,0,0,0,22.39
3001002,2,2,36027,18,2,1,2,1,2,1,2,,99,2,0,0,1,0,1,2,1.46,1,222.5,WAPPINGERS FALLS,WAPPINGERS FALLS VILLAGE,Poughkeepsie town,NY,12590,2422,36027300000,174.19,5,3,2,2,9,0,3,2,0,0,0,2,0,1.46,0,0,0,1.46,0
3001008,2,2,9009,14,2,1,1,1,1,1,1,,5,5,0,0,1,0,0,5,6.9,1,565.33333,WEST HAVEN,WEST HAVEN CITY,West Haven town,CT,06516,3447,9009155100,367.13,6,4,3,1,3,0,4,3,2,0,0,2,3,5.24,1.66,0,0,1.66,5.24
3001048,2,2,36079,21,2,1,1,1,2,2,1,,99,4,2,0,0,2,0,0,0,1,71.04878,BREWSTER,BREWSTER HILL CDP,Southeast town,NY,10509,2304,36079011800,122.2,4,3,1,2,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3001059,2,2,36005,13,2,1,1,2,1,1,1,,4,2,0,0,1,0,0,4,4.8,1,609.5,BRONX,NEW YORK CITY,Bronx borough,NY,10468,873,36005040304,1525.59,2,1,1,1,2,0,4,0,2,2,0,0,4,0,2,2.8,0,0,4.8
3001069,2,2,34039,17,2,1,1,1,2,2,1,,6,5,2,0,2,2,0,12,10.1,1,286.5,ELIZABETH,ELIZABETH CITY,Elizabeth city,NJ,07208,3126,34039031802,556.51,8,5,4,2,4,2,2,12,0,0,0,6,6,10.1,0,0,0,4.43,5.67
3001073,2,3,34003,3,2,1,1,1,2,1,1,,5,4,2,0,1,2,0,9,11.7,1,912,ENGLEWOOD CLIFFS,ENGLEWOOD CLIFFS BOROUGH,Englewood Cliffs borough,NJ,07632,2676,34003016000,345.27,7,5,4,2,3,2,4,9,0,0,0,0,9,11.7,0,0,0,0,11.7
