ID,SAMPN,PERNO,MODE,GENDER,AGE,INCOME,CAR,LIC,TRIPDIST_R1,TRPDUR_R,OTAZ,DTAZ,TOD_R
170,3001181,1,5,2,6,9,1,1,1,2,242,245,1
171,3001181,1,5,2,6,9,1,1,1,2,245,242,2
172,3001181,1,5,2,6,9,1,1,1,2,242,236,2
173,3001181,1,5,2,6,9,1,1,1,2,236,242,2
174,3001190,1,5,1,6,1,2,1,1,2,1082,1081,2
175,3001190,1,2,1,6,1,2,1,4,4,1081,182,2
176,3001190,1,2,1,6,1,2,1,4,4,182,1076,2
177,3001190,1,5,1,6,1,2,1,1,3,1076,1083,3
178,3001190,1,5,1,6,1,2,1,1,3,1083,1082,3
179,3001218,1,1,2,3,2,1,1,2,1,3296,3296,1
180,3001218,2,1,1,4,2,1,1,1,1,3296,3296,1
181,3001218,2,1,1,4,2,1,1,1,1,3296,3296,1
182,3001218,2,1,1,4,2,1,1,2,2,3296,3296,1
183,3001218,2,1,1,4,2,1,1,1,1,3296,3296,2
184,3001218,2,1,1,4,2,1,1,2,1,3296,3296,2
185,3001218,2,1,1,4,2,1,1,2,1,3296,3296,2
186,3001218,2,1,1,4,2,1,1,1,1,3296,3296,2
187,3001218,2,1,1,4,2,1,1,1,1,3296,3296,2
188,3001218,2,1,1,4,2,1,1,1,1,3296,3296,2
189,3001293,1,2,2,4,4,2,1,2,4,1091,1082,4
190,3001293,2,5,1,5,4,2,1,1,1,1082,1082,4
191,3001312,1,1,2,5,9,1,1,4,3,3437,3510,2
192,3001312,1,1,2,5,9,1,1,4,1,3510,3515,2
193,3001312,1,1,2,5,9,1,1,4,1,3515,3510,2
194,3001312,1,1,2,5,9,1,1,4,2,3510,3515,3
195,3001312,1,1,2,5,9,1,1,4,2,3515,3510,3
196,3001312,1,1,2,5,9,1,1,2,1,3510,3506,3
197,3001312,1,1,2,5,9,1,1,2,1,3506,3510,3
198,3001312,1,1,2,5,9,1,1,2,1,3510,3506,3
199,3001312,1,1,2,5,9,1,1,2,1,3506,3510,3
200,3001346,2,1,1,5,3,1,1,2,2,2291,2291,3
201,3001346,2,1,1,5,3,1,1,1,1,2291,2291,3
202,3001346,2,1,1,5,3,1,1,1,1,2291,2292,3
203,3001346,2,1,1,5,3,1,1,1,1,2292,2292,3
204,3001346,2,1,1,5,3,1,1,1,1,2292,2292,3
205,3001346,2,1,1,5,3,1,1,2,1,2292,2292,3
206,3001346,2,1,1,5,3,1,1,2,2,2292,2291,3
207,3001559,1,1,1,5,2,1,1,2,1,3124,3124,2
208,3001559,1,1,1,5,2,1,1,1,1,3124,3124,3
209,3001559,1,1,1,5,2,1,1,2,1,3124,3124,3
210,3001559,1,1,1,5,2,1,1,3,2,3124,3135,3
211,3001559,1,1,1,5,2,1,1,3,2,3135,3124,3
212,3001621,1,5,1,5,1,2,1,1,1,2308,2308,1
213,3001621,1,1,1,5,1,2,1,1,2,2308,2308,2
214,3001621,1,5,1,5,1,2,1,1,2,2308,2308,2
215,3001621,1,1,1,5,1,2,1,1,4,2308,2308,2
216,3001621,1,1,1,5,1,2,1,2,1,2308,2307,2
217,3001621,1,1,1,5,1,2,1,2,1,2307,2308,2
218,3001623,1,1,2,4,4,1,1,2,2,2744,2744,1
219,3001623,1,1,2,4,4,1,1,2,2,2744,2744,3
220,3001623,1,1,2,4,4,1,1,2,2,2744,2744,3
221,3001623,1,1,2,4,4,1,1,2,2,2744,2744,4
222,3001623,2,1,1,4,4,1,1,2,1,2744,2744,4
223,3001623,2,1,1,4,4,1,1,2,2,2744,2744,4
224,3001633,2,1,2,4,2,1,1,1,1,3385,3385,4
225,3001654,1,1,2,6,2,1,1,4,2,3514,3459,1
226,3001654,1,1,2,6,2,1,1,4,2,3459,3514,2
227,3001676,1,1,1,2,4,1,1,3,1,1580,1596,2
228,3001732,1,1,1,4,2,1,1,2,2,2910,3056,2
229,3001732,1,1,1,4,2,1,1,1,1,3056,3056,2
230,3001732,1,1,1,4,2,1,1,2,2,3056,2910,2
231,3001732,1,1,1,4,2,1,1,2,2,2910,3046,3
232,3001732,1,1,1,4,2,1,1,2,3,3046,2910,3
233,3001732,1,1,1,4,2,1,1,5,4,2910,37,4
234,3001732,2,1,2,6,2,1,2,2,2,2910,3056,2
235,3001732,2,1,2,6,2,1,2,1,1,3056,3056,2
236,3001732,2,1,2,6,2,1,2,2,2,3056,2910,2
237,3001737,1,1,1,5,4,1,1,2,2,3151,3168,4
238,3001737,2,1,2,5,4,1,1,6,4,3168,2890,2
239,3001754,1,1,1,5,3,1,1,1,1,2648,2648,2
240,3001754,1,1,1,5,3,1,1,1,1,2648,2648,2
241,3001754,1,1,1,5,3,1,1,1,1,2648,2648,2
